"iso3","eurobarometerSource","n_papers","countryName","pm25Avg","population2015","categoryPollution","isChina","isIndia","Economy","Region","Income.group","Lending.category","continent","region_un","n_surveys"
"HND",1,0,"Honduras",21.8,9305049.743,"medium",0,0,"Honduras","Latin America & Caribbean","Lower middle income","IDA","North America","Americas",0
"HRV",0,1,"Croatia",13.7,4254148.74,"low",0,0,"Croatia","Europe & Central Asia","High income","IBRD","Europe","Europe",15
"HRV",1,1,"Croatia",13.7,4254148.74,"low",0,0,"Croatia","Europe & Central Asia","High income","IBRD","Europe","Europe",42
"HTI",0,0,"Haiti",13.4,10578531.102,"low",0,0,"Haiti","Latin America & Caribbean","Lower middle income","IDA","North America","Americas",0
"HTI",1,0,"Haiti",13.4,10578531.102,"low",0,0,"Haiti","Latin America & Caribbean","Lower middle income","IDA","North America","Americas",0
"HUN",0,1,"Hungary",14,9845520.657,"low",0,0,"Hungary","Europe & Central Asia","High income","","Europe","Europe",15
"HUN",1,1,"Hungary",14,9845520.657,"low",0,0,"Hungary","Europe & Central Asia","High income","","Europe","Europe",80
"IDN",0,5,"Indonesia",21.1,259083290.41,"medium",0,0,"Indonesia","East Asia & Pacific","Upper middle income","IBRD","Asia","Asia",3
"IDN",1,5,"Indonesia",21.1,259083290.41,"medium",0,0,"Indonesia","East Asia & Pacific","Upper middle income","IBRD","Asia","Asia",0
"IMN",0,0,"Isle of Man",7.3,83593.00008,"very low",0,0,"Isle of Man","Europe & Central Asia","High income","","Europe","Europe",0
"IMN",1,0,"Isle of Man",7.3,83593.00008,"very low",0,0,"Isle of Man","Europe & Central Asia","High income","","Europe","Europe",0
"IND",0,21,"India",51.4,1323107937.3,"very high",0,1,"India","South Asia","Lower middle income","IBRD","Asia","Asia",24
"IND",1,21,"India",51.4,1323107937.3,"very high",0,1,"India","South Asia","Lower middle income","IBRD","Asia","Asia",0
"IRL",0,4,"Ireland",8.9,4665866.723,"very low",0,0,"Ireland","Europe & Central Asia","High income","","Europe","Europe",5
"IRL",1,4,"Ireland",8.9,4665866.723,"very low",0,0,"Ireland","Europe & Central Asia","High income","","Europe","Europe",93
"IRN",0,13,"Iran",32.8,81764618.24,"high",0,0,"Iran, Islamic Rep.","Middle East & North Africa","Upper middle income","IBRD","Asia","Asia",1
